Player,Country,Start_Year,End_Year,Mat,NO,Runs,Ave,SR,100,50
SR Tendulkar,INDIA,1989,2012,463,41,18426,44.83,86.23,49,96
KC Sangakkara,SL,2000,2015,404,41,14234,41.98,78.86,25,93
RT Ponting ,AUS,1995,2012,375,39,13704,42.03,80.39,30,82
ST Jayasuriya ,SL,1989,2011,445,18,13430,32.36,91.2,28,68
DPMD Jayawardene ,SL,1998,2015,448,39,12650,33.37,78.96,19,77
Inzamam-ul-Haq ,PAK,1991,2007,378,53,11739,39.52,74.24,10,83
JH Kallis ,SA,1996,2014,328,53,11579,44.36,72.89,17,86
SC Ganguly ,INDIA,1992,2007,311,23,11363,41.02,73.7,22,72
R Dravid ,INDIA,1996,2011,344,40,10889,39.16,71.24,12,83
BC Lara ,WI,1990,2007,299,32,10405,40.48,79.51,19,63
TM Dilshan ,SL,1999,2016,330,41,10290,39.27,86.23,22,47
MS Dhoni ,INDIA,2004,2018,321,78,10046,51.25,88.13,10,67
V Kohli ,INDIA,2008,2018,211,35,9779,58.2,92.12,35,48
Mohammad Yousuf ,PAK,1998,2010,288,40,9720,41.71,75.1,15,64
CH Gayle ,WI,1999,2018,283,17,9654,36.98,85.68,23,48
AC Gilchrist ,AUS,1996,2008,287,11,9619,35.89,96.94,16,55
AB de Villiers ,SA,2005,2018,228,39,9577,53.5,101.09,25,53
M Azharuddin ,INDIA,1985,2000,334,54,9378,36.92,74.02,7,58
PA de Silva ,SL,1984,2003,308,30,9284,34.9,81.13,11,64
Saeed Anwar ,PAK,1989,2003,247,19,8824,39.21,80.67,20,43
S Chanderpaul ,WI,1994,2011,268,40,8778,41.6,70.74,11,59
Yuvraj Singh ,INDIA,2000,2017,304,40,8701,36.55,87.67,14,52
DL Haynes ,WI,1978,1994,238,28,8648,41.37,63.09,17,57
MS Atapattu ,SL,1990,2007,268,32,8529,37.57,67.72,11,59
ME Waugh ,AUS,1988,2002,244,20,8500,39.35,76.9,18,50
V Sehwag ,INDIA,1999,2013,251,9,8273,35.05,104.33,15,38
HH Gibbs ,SA,1996,2010,248,16,8094,36.13,83.26,21,37
Shahid Afridi ,PAK,1996,2015,398,27,8064,23.57,117,6,39
SP Fleming ,NZ,1994,2007,280,21,8037,32.4,71.49,8,49
MJ Clarke ,AUS,2003,2015,245,44,7981,44.58,78.98,8,58
SR Waugh ,AUS,1986,2002,325,58,7569,32.9,75.91,3,45
HM Amla ,SA,2008,2018,164,11,7535,50.23,88.9,26,35
A Ranatunga ,SL,1982,1999,269,47,7456,35.84,77.9,4,49
Javed Miandad ,PAK,1975,1996,233,41,7381,41.7,67.01,8,50
LRPL Taylor ,NZ,2006,2018,204,33,7267,46.28,82.87,19,41
Younis Khan ,PAK,2000,2015,265,23,7249,31.24,75.29,7,48
Saleem Malik ,PAK,1982,1999,283,38,7170,32.88,76.41,5,47
NJ Astle ,NZ,1995,2007,223,14,7090,34.92,72.64,16,41
Shoaib Malik ,PAK,1999,2018,266,38,7015,35.07,81.88,9,41
GC Smith ,SA,2002,2013,197,10,6989,37.98,80.81,10,47
MG Bevan ,AUS,1994,2004,232,67,6912,53.58,74.16,6,46
G Kirsten ,SA,1993,2003,185,19,6798,40.95,72.04,13,45
A Flower ,ZIM,1992,2003,213,16,6786,35.34,74.59,4,55
WU Tharanga ,SL,2005,2018,223,17,6780,34.76,75.77,15,37
RG Sharma ,INDIA,2007,2018,183,27,6748,44.98,87.18,18,34
IVA Richards ,WI,1975,1991,187,24,6721,47,90.2,11,45
GW Flower ,ZIM,1992,2010,221,18,6571,33.52,67.58,6,40
Ijaz Ahmed ,PAK,1986,2000,250,29,6564,32.33,80.3,10,37
AR Border ,AUS,1979,1994,273,39,6524,30.62,71.42,3,39
EJG Morgan ,ENG,2006,2018,208,26,6362,37.64,88.81,11,39
RB Richardson ,WI,1983,1996,224,30,6248,33.41,63.74,5,44
Tamim Iqbal ,BDESH,2007,2018,181,6,6202,35.84,78.16,10,42
ML Hayden ,AUS,1993,2008,161,15,6133,43.8,78.96,10,36
Mohammad Hafeez ,PAK,2003,2018,200,13,6107,32.83,75.6,11,34
BB McCullum ,NZ,2002,2016,260,28,6083,30.41,96.37,5,32
DM Jones ,AUS,1984,1994,164,25,6068,44.61,72.56,7,46
MJ Guptill ,NZ,2009,2018,159,17,5976,42.99,86.38,13,34
DC Boon ,AUS,1984,1995,181,16,5964,37.04,65.13,5,37
BRM Taylor ,ZIM,2004,2018,182,15,5942,35.79,75.81,10,34
JN Rhodes ,SA,1992,2003,245,51,5935,35.11,80.9,2,33
Rameez Raja ,PAK,1985,1997,198,15,5841,32.09,63.31,9,31
RR Sarwan ,WI,2000,2013,181,33,5804,42.67,75.74,5,38
CL Hooper ,WI,1987,2003,227,43,5761,35.34,76.63,7,29
SR Watson ,AUS,2002,2015,190,27,5757,40.54,90.44,9,33
SK Raina ,INDIA,2005,2018,226,35,5615,35.31,93.5,5,36
WJ Cronje ,SA,1992,2000,188,31,5565,38.64,76.47,2,39
H Masakadza ,ZIM,2001,2018,198,4,5487,28.43,73.89,5,34
MN Samuels ,WI,2000,2018,199,26,5472,33.77,75.49,10,30
MEK Hussey ,AUS,2004,2012,185,44,5442,48.15,87.16,3,39
IR Bell ,ENG,2004,2015,161,14,5416,37.87,77.16,4,35
Shakib Al Hasan ,BDESH,2006,2018,187,24,5396,35.5,81,7,39
A Jadeja ,INDIA,1992,2000,196,36,5359,37.47,69.8,6,30
DR Martyn ,AUS,1992,2006,208,51,5346,40.8,77.73,5,37
G Gambhir ,INDIA,2003,2013,147,11,5238,39.68,85.25,11,34
ADR Campbell ,ZIM,1992,2003,188,14,5185,30.5,66.18,7,30
RS Mahanama ,SL,1986,1999,213,23,5162,29.49,60.57,4,35
KS Williamson ,NZ,2010,2018,127,11,5156,46.87,83.22,11,33
CG Greenidge ,WI,1975,1991,128,13,5134,45.03,64.92,11,31
Misbah-ul-Haq ,PAK,2002,2015,162,31,5122,43.4,73.75,0,42
AD Mathews ,SL,2008,2018,196,44,5107,41.86,83.76,2,35
PD Collingwood ,ENG,2001,2011,197,37,5092,35.36,76.98,5,26
A Symonds ,AUS,1998,2009,198,33,5088,39.75,92.44,6,30
Abdul Razzaq ,PAK,1996,2011,265,57,5080,29.7,81.25,3,23
